Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Скидка;Наличие на складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович;Лань: Компьютеры и программное обеспечение;3955;Нету старой цены;-5%;На складе
Обработка естественного языка. Python и spaCy на практике;Васильев Юрий;Питер: Библиотека программиста;1229;1576;-22%;На складе
Python для финансовых расчетов;Хилпиш Ив;Диалектика: Самоучитель;6914;Нету старой цены;-5%;На складе
Разработка и анализ компьютерных алгоритмов;Ахо Альфред В.;Вильямс;2592;Нету старой цены;-5%;На складе
Научное программирование на Python;Хилл Кристиан;ДМК-Пресс;3263;Нету старой цены;-5%;На складе
C#. Алгоритмы и структуры данных (+CD). СПО;Тюкачев Николай Аркадьевич;Лань: Компьютеры и программное обеспечение;2321;Нету старой цены;-5%;Ограничено
C#. Основы программирования (+CD). СПО;Тюкачев Николай Аркадьевич;Лань: Компьютеры и программное обеспечение;2566;Нету старой цены;-5%;На складе
C#. Программирование 2D и 3D векторной графики (+CD). СПО;Тюкачев Николай Аркадьевич;Лань: Компьютеры и программное обеспечение;2566;Нету старой цены;-5%;На складе
Алгоритмизация и программирование. Практикум. СПО;Андрианова Анастасия Александровна;Лань: Компьютеры и программное обеспечение;2011;Нету старой цены;-5%;На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows;Заяц Анатолий Моисеевич;Лань: Компьютеры и программное обеспечение;2128;Нету старой цены;-5%;На складе
Построение распределенных систем на базе WebSocket. Учебное пособие;Хабаров Сергей Петрович;Лань: Компьютеры и программное обеспечение;2003;Нету старой цены;-5%;Ограничено
Практическое введение в язык программирования Си. СПО;Солдатенко Илья Сергеевич;Лань: Компьютеры и программное обеспечение;1501;Нету старой цены;-5%;На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО;Заяц Анатолий Моисеевич;Лань: Компьютеры и программное обеспечение;1475;Нету старой цены;-5%;Ограничено
Введение в язык Си++;Столяров Андрей Викторович;ДМК-Пресс;1708;Нету старой цены;-5%;На складе
Оформление программного кода;Столяров Андрей Викторович;ДМК-Пресс;1358;Нету старой цены;-5%;На складе
Простой Python для опытных программистов;Гаско Рик;Солон-пресс: Программирование;1025;Нету старой цены;-5%;На складе
Профессиональная разработка на Python;Уилкс Мэттью;ДМК-Пресс;3467;Нету старой цены;-5%;На складе
Программируй & типизируй;Ришкуция Влад;Питер: Библиотека программиста;1773;2273;-21%;На складе
Основы Python. Научитесь мыслить как программист;Дауни Аллен Б.;Манн, Иванов и Фербер;1156;Нету старой цены;-5%;На складе
SimInTech. Преобразователи автономных источников электроэнергии;Калачёв Ю. Н.;ДМК-Пресс;626;Нету старой цены;-5%;На складе
Принятие решений и феномен неопределенности. Учебное пособие;Клименко Игорь Семенович;Лань: Компьютеры и программное обеспечение;1789;Нету старой цены;-5%;Ограничено
JavaScript. Готовые программы. Учебное пособие;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;1789;Нету старой цены;-5%;Ограничено
JavaScript. Готовые программы. СПО;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;1590;Нету старой цены;-5%;На складе
TypeScript быстро;Файн Яков;Питер: Для профессионалов;1974;2531;-22%;На складе
C# 8 и .NET Core. Разработка и оптимизация;Прайс Марк Дж.;Питер: Для профессионалов;2735;3507;-22%;На складе
Разработка базы данных в Access. Учебное пособие;Волик Мария Владимировна;Прометей;419;537;-21%;На складе
Основы программирования на языке С. Учебное пособие;Гагарина Лариса Геннадьевна;ИНФРА-М: Высшее образование. Бакалавриат;2567;Нету старой цены;-5%;На складе
Java. Быстрый старт;Чан Джейми;Питер: Библиотека программиста;807;1035;-22%;На складе
Python. Быстрый старт;Чан Джейми;Питер: Библиотека программиста;807;1035;-22%;На складе
Kubernetes. Лучшие практики. Построение эффективных приложений;Бернс Брендан;Питер: Для профессионалов;1209;1550;-22%;На складе
C++ для профи;Лоспинозо Джош;Питер: Для профессионалов;2581;3309;-22%;На складе
Интеллектуальные информационные системы и методы искусственного интеллекта;Андрейчиков Александр Валентинович;ИНФРА-М: Высшее образование. Магистратура;5873;Нету старой цены;-5%;На складе
Современный скрапинг веб-сайтов с помощью Python;Митчелл Райан;Питер: Бестселлеры O`Reilly;1765;2263;-22%;На складе
Инструментальные средства разработки программного обеспечения Системы Fossil;Орещенков Игорь Сергеевич;Лань: Компьютеры и программное обеспечение;2585;Нету старой цены;-5%;На складе
Эффективный Java. Тюнинг кода на Java 8, 11 и дальше;Оукс Скотт;Питер: Бестселлеры O`Reilly;2567;3291;-21%;На складе
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript;Браун Итан;Питер: Бестселлеры O`Reilly;1598;2049;-22%;На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes;Индрасири Касун;Питер: Бестселлеры O`Reilly;1357;1740;-22%;На складе
Python. Сборник упражнений;Стивенсон Бен;ДМК-Пресс;1223;Нету старой цены;-5%;На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач;Рафгарден Тим;Питер: Библиотека программиста;1494;1915;-21%;На складе
Стильный Java. Код, который работает всегда и везде;Фаэлла Марко;Питер: Библиотека программиста;1923;2465;-21%;На складе
Внедрение зависимостей на платформе .NET;Симан Марк;Питер: Для профессионалов;2567;3291;-21%;На складе
От монолита к микросервисам;Ньюмен Сэм;BHV;1064;Нету старой цены;-5%;На складе
Электроника. Занимательная электроника;Ревич Юрий Всеволодович;BHV: Электроника;1134;Нету старой цены;-5%;На складе
Проекты с использованием контроллера Arduino;Петин Виктор Александрович;BHV: Электроника;1064;Нету старой цены;-5%;На складе
Глубокое обучение. Легкая разработка проектов на Python;Вейдман Сет;Питер: Бестселлеры O`Reilly;2295;2942;-21%;На складе
Паттерны проектирования для C# и платформы .NET Core;Арораа Гаурав;Питер: Для профессионалов;2649;3396;-21%;На складе
Структуры и алгоритмы обработки данных. Учебник для СПО;Павлов Леонид Александрович;Лань: Компьютеры и программное обеспечение;1503;Нету старой цены;-5%;Ограничено
Численные методы и программирование. Учебное пособие для СПО;Слабнов Виктор Дмитриевич;Лань: Компьютеры и программное обеспечение;3975;Нету старой цены;-5%;На складе
Web-программирование на JavaScript. Учебное пособие для СПО;Диков Андрей Валентинович;Лань: Компьютеры и программное обеспечение;1649;Нету старой цены;-5%;Ограничено
Технология разработки программного обеспечения. Учебное пособие для СПО;Зубкова Татьяна Михайловна;Лань: Компьютеры и программное обеспечение;2638;Нету старой цены;-5%;На складе
“Непрактичный” Python. Занимательные проекты для тех, кто хочет поумнеть;Воган Ли;BHV;1210;Нету старой цены;-5%;На складе
Разработка приложений на Swift 5.1 и SwiftUI с нуля;Казанский Александр Анатольевич;BHV: С нуля;1064;Нету старой цены;-5%;На складе
WordPress с нуля;Молочков Владимир Петрович;BHV: С нуля;695;Нету старой цены;-5%;На складе
Совершенный софт. Совершенный софт — совершенная;Леве Джувел;Питер: Для профессионалов;1753;2247;-21%;На складе
Spark в действии. С примерами Java, Python и Scala;Перрен Жан-Жорж;ДМК-Пресс;3467;Нету старой цены;-5%;На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников;Фоукс Линда;ДМК-Пресс;2040;Нету старой цены;-5%;На складе
Еще более эффективный Agile;Макконнелл Стив;Питер: IT для бизнеса;1209;1550;-22%;На складе
Секреты Python Pro;Хиллард Дейн;Питер: Для профессионалов;1888;2421;-22%;На складе
Программирование на Python в примерах и задачах;Васильев Алексей Николаевич;Бомбора: Российский компьютерный бестселлер;1157;Нету старой цены;-5%;На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник;Колтунов Игорь Ильич;Кнорус: Магистратура;1425;Нету старой цены;-5%;На складе
Квантовые вычисления. Прикладной подход;Хидари Джек Д.;ДМК-Пресс;2040;Нету старой цены;-5%;На складе
JavaScript. Полное руководство;Флэнаган Дэвид;Вильямс;3456;Нету старой цены;-5%;На складе
Проектирование информационных систем. Методы и средства структурно-функционального проектирования;Гвоздева Татьяна Вадимовна;Лань: Компьютеры и программное обеспечение;1492;Нету старой цены;-5%;На складе
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО;Симонова Елена Витальевна;Лань: Компьютеры и программное обеспечение;1590;Нету старой цены;-5%;На складе
Проектирование информационных систем. Стандартизация, техническое документирование информ. систем;Гвоздева Татьяна Вадимовна;Лань: Компьютеры и программное обеспечение;1960;Нету старой цены;-5%;Ограничено
Системы отображения информации. Дискретные индикаторы. Учебник для вузов;Смирнов Виктор Михайлович;Лань: Компьютеры и программное обеспечение;3365;Нету старой цены;-5%;На складе
Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО;Журавлев Антон Евгеньевич;Лань: Компьютеры и программное обеспечение;1889;Нету старой цены;-5%;На складе
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов;Кудинов Юрий Иванович;Лань: Компьютеры и программное обеспечение;2638;Нету старой цены;-5%;На складе
Мультимедийные технологии. Учебник для СПО;Катунин Геннадий Павлович;Лань: Компьютеры и программное обеспечение;4174;Нету старой цены;-5%;Ограничено
Swift. Основы разработки приложений под iOS, iPadOS и macOS;Усов Василий;Питер: Библиотека программиста;1563;2004;-22%;На складе
